mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0009919,peroxisomal acyl-CoA oxidase deficiency,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010104,non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0007417,Darier disease,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017573,"46,XX disorder of sex development-anorectal anomalies syndrome",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009915,"46,XX disorder of sex development-skeletal anomalies syndrome",False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008211,"pseudoleprechaunism syndrome, Patterson type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017574,chronic intestinal pseudoobstruction,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009920,Acrootoocular syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010824,disorder of sex development-intellectual disability syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008694,pseudoprogeria syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010835,pterygium colli-intellectual disability-digital anomalies syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008337,familial pterygium of the conjunctiva,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009926,autosomal recessive multiple pterygium syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0011028,autosomal recessive limb-girdle muscular dystrophy type 2F,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008335,short stature-craniofacial anomalies-genital hypoplasia syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017579,Baraitser-Winter cerebrofrontofacial syndrome,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008665,ptosis-vocal cord paralysis syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008303,familial male-limited precocious puberty,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0008558,autoimmune thrombocytopenic purpura,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0009942,pyknoachondrogenesis,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017583,mirror polydactyly-vertebral segmentation-limbs defects syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009945,pyridoxine-dependent epilepsy,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0009949,pyruvate carboxylase deficiency disease,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010816,Qazi Markouizos syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008682,Denys-Drash syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010051,spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008359,radio-renal syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010718,absent radius-anogenital anomalies syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009954,Ramon syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0007587,external auditory canal atresia-vertical talus-hypertelorism syndrome,True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017607,caudal regression sequence,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0009966,NPHP3-related Meckel-like syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0017609,renal tubular dysgenesis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0007971,delayed membranous cranial ossification,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009362,growth delay-hydrocephaly-lung hypoplasia syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0016367,dermatomyositis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008445,delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010505,intellectual disability-balding-patella luxation-acromicria syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009798,Primrose syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009581,intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0011365,"blepharophimosis - intellectual disability syndrome, SBBYS type",True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0011053,intellectual disability-sparse hair-brachydactyly syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0010652,X-linked intellectual disability-seizures-psoriasis syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017614,X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010379,Brunner syndrome,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010664,syndromic X-linked intellectual disability Snyder type,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0016379,erosive pustular dermatosis of the scalp,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009671,intellectual disability-myopathy-short stature-endocrine defect syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009026,Costello syndrome,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017668,intellectual disability-short stature-hypertelorism syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010235,X-linked intellectual disability-psychosis-macroorchidism syndrome,True,True,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0010661,"severe X-linked intellectual disability, Gustavson type",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009584,"intellectual disability, Buenos-Aires type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0010203,"intellectual disability, Wolff type",False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017682,intellectual disability-polydactyly-uncombable hair syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009983,retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017727,fixed subaortic stenosis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0016383,nephrogenic diabetes insipidus,False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0017735,congenital aortic valve stenosis,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017746,atypical Rett syndrome,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0012164,Meacham syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009996,"rhizomelic syndrome, Urbach type",False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017767,rheumatic fever,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009716,Richieri Costa-da Silva syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0100253,Roberts-SC phocomelia syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008247,Robin sequence-oligodactyly syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008389,autosomal dominant Robinow syndrome,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0017771,Mayer-Rokitansky-Kuster-Hauser syndrome,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0009862,dihydropteridine reductase deficiency,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009379,Rotor syndrome,False,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008392,Roussy-Levy syndrome,True,True,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0008395,Ruvalcaba syndrome,False,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010005,saccharopinuria,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010008,sarcosinemia,False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0010922,Satoyoshi syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0009620,Say-Barber-Miller syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0010728,SCARF syndrome,False,False,False,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0017779,alpha-N-acetylgalactosaminidase deficiency,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0008411,ulnar-mammary syndrome,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0009281,glutaryl-CoA dehydrogenase deficiency,True,False,True,True,True,normalized from v2 fields; no unsupported inference added
MONDO:0016416,diphallia,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
